freq_hz,delta_db_raw,delta_db_smooth
0.000000000000000000e+00,-2.856170654296875000e+00,7.331477403640747070e-01
5.859375000000000000e+00,-2.895879745483398438e+00,1.218940615653991699e-01
1.171875000000000000e+01,-1.488475799560546875e+00,-4.603972434997558594e-01
1.757812500000000000e+01,2.306900024414062500e-01,-1.014354348182678223e+00
2.343750000000000000e+01,1.043732643127441406e+00,-1.540605664253234863e+00
2.929687500000000000e+01,6.895151138305664062e-01,-2.039779186248779297e+00
3.515625000000000000e+01,-8.127975463867187500e-02,-2.512503147125244141e+00
4.101562500000000000e+01,-6.343307495117187500e-01,-2.959406375885009766e+00
4.687500000000000000e+01,-1.976884841918945312e+00,-3.381116867065429688e+00
5.273437500000000000e+01,-2.380687713623046875e+00,-3.778262138366699219e+00
5.859375000000000000e+01,-3.718559265136718750e+00,-4.151471138000488281e+00
6.445312500000000000e+01,-4.607063293457031250e+00,-4.501371860504150391e+00
7.031250000000000000e+01,-5.672428131103515625e+00,-4.828593254089355469e+00
7.617187500000000000e+01,-6.489475250244140625e+00,-5.133762836456298828e+00
8.203125000000000000e+01,-7.109638214111328125e+00,-5.417509078979492188e+00
8.789062500000000000e+01,-6.592323303222656250e+00,-5.680459976196289062e+00
9.375000000000000000e+01,-6.054594039916992188e+00,-5.923243522644042969e+00
9.960937500000000000e+01,-6.089809417724609375e+00,-6.146489620208740234e+00
1.054687500000000000e+02,-6.457771301269531250e+00,-6.350824356079101562e+00
1.113281250000000000e+02,-7.735219955444335938e+00,-6.536877632141113281e+00
1.171875000000000000e+02,-8.634365081787109375e+00,-6.705276489257812500e+00
1.230468750000000000e+02,-8.784606933593750000e+00,-6.856649875640869141e+00
1.289062500000000000e+02,-7.414579391479492188e+00,-6.991626739501953125e+00
1.347656250000000000e+02,-6.477998733520507812e+00,-7.110833168029785156e+00
1.406250000000000000e+02,-6.158840179443359375e+00,-7.214899063110351562e+00
1.464843750000000000e+02,-5.959659576416015625e+00,-7.304452896118164062e+00
1.523437500000000000e+02,-6.812759399414062500e+00,-7.380122184753417969e+00
1.582031250000000000e+02,-7.408878326416015625e+00,-7.442536354064941406e+00
1.640625000000000000e+02,-7.968748092651367188e+00,-7.492321014404296875e+00
1.699218750000000000e+02,-8.332469940185546875e+00,-7.530106544494628906e+00
1.757812500000000000e+02,-7.968070983886718750e+00,-7.556520462036132812e+00
1.816406250000000000e+02,-7.673318862915039062e+00,-7.572192192077636719e+00
1.875000000000000000e+02,-6.976751327514648438e+00,-7.577749252319335938e+00
1.933593750000000000e+02,-6.473884582519531250e+00,-7.573819160461425781e+00
1.992187500000000000e+02,-6.648729324340820312e+00,-7.561030387878417969e+00
2.050781250000000000e+02,-6.617084503173828125e+00,-7.540019035339355469e+00
2.109375000000000000e+02,-6.216659545898437500e+00,-7.602124691009521484e+00
2.167968750000000000e+02,-6.253519058227539062e+00,-7.661716461181640625e+00
2.226562500000000000e+02,-7.646240234375000000e+00,-7.683090686798095703e+00
2.285156250000000000e+02,-9.798480987548828125e+00,-7.651567935943603516e+00
2.343750000000000000e+02,-1.072672462463378906e+01,-7.580365657806396484e+00
2.402343750000000000e+02,-1.045583152770996094e+01,-7.496136665344238281e+00
2.460937500000000000e+02,-8.743112564086914062e+00,-7.419069766998291016e+00
2.519531250000000000e+02,-6.504190444946289062e+00,-7.322074890136718750e+00
2.578125000000000000e+02,-5.965133666992187500e+00,-7.209468841552734375e+00
2.636718750000000000e+02,-6.445608139038085938e+00,-7.067797183990478516e+00
2.695312500000000000e+02,-6.232057571411132812e+00,-6.934567928314208984e+00
2.753906250000000000e+02,-5.854270935058593750e+00,-6.827611446380615234e+00
2.812500000000000000e+02,-5.706813812255859375e+00,-6.764088630676269531e+00
2.871093750000000000e+02,-5.486082077026367188e+00,-6.737775802612304688e+00
2.929687500000000000e+02,-6.109518051147460938e+00,-6.725378036499023438e+00
2.988281250000000000e+02,-6.054227828979492188e+00,-6.698478221893310547e+00
3.046875000000000000e+02,-5.868953704833984375e+00,-6.661649703979492188e+00
3.105468750000000000e+02,-6.205469131469726562e+00,-6.624998092651367188e+00
3.164062500000000000e+02,-6.733314514160156250e+00,-6.586554050445556641e+00
3.222656250000000000e+02,-6.448112487792968750e+00,-6.561122894287109375e+00
3.281250000000000000e+02,-5.982799530029296875e+00,-6.536262035369873047e+00
3.339843750000000000e+02,-5.460346221923828125e+00,-6.512556552886962891e+00
3.398437500000000000e+02,-5.651123046875000000e+00,-6.460627555847167969e+00
3.457031250000000000e+02,-6.576593399047851562e+00,-6.399671077728271484e+00
3.515625000000000000e+02,-7.686445236206054688e+00,-6.342274188995361328e+00
3.574218750000000000e+02,-7.772132873535156250e+00,-6.283554553985595703e+00
3.632812500000000000e+02,-7.341001510620117188e+00,-6.246803283691406250e+00
3.691406250000000000e+02,-6.239805221557617188e+00,-6.225585460662841797e+00
3.750000000000000000e+02,-5.423021316528320312e+00,-6.216077804565429688e+00
3.808593750000000000e+02,-5.185445785522460938e+00,-6.204591751098632812e+00
3.867187500000000000e+02,-6.195211410522460938e+00,-6.181441783905029297e+00
3.925781250000000000e+02,-6.351905822753906250e+00,-6.168442249298095703e+00
3.984375000000000000e+02,-6.453197479248046875e+00,-6.154625415802001953e+00
4.042968750000000000e+02,-6.719638824462890625e+00,-6.141273498535156250e+00
4.101562500000000000e+02,-6.317741394042968750e+00,-6.137589454650878906e+00
4.160156250000000000e+02,-6.124383926391601562e+00,-6.118302822113037109e+00
4.218750000000000000e+02,-5.844036102294921875e+00,-6.078571319580078125e+00
4.277343750000000000e+02,-5.662899017333984375e+00,-6.022726535797119141e+00
4.335937500000000000e+02,-5.610538482666015625e+00,-6.011781692504882812e+00
4.394531250000000000e+02,-5.636829376220703125e+00,-6.059014320373535156e+00
4.453125000000000000e+02,-5.505149841308593750e+00,-6.154659271240234375e+00
4.511718750000000000e+02,-4.834482192993164062e+00,-6.253489017486572266e+00
4.570312500000000000e+02,-5.284585952758789062e+00,-6.316054344177246094e+00
4.628906250000000000e+02,-6.556236267089843750e+00,-6.348241329193115234e+00
4.687500000000000000e+02,-7.806861877441406250e+00,-6.370281219482421875e+00
4.746093750000000000e+02,-8.454174041748046875e+00,-6.409716606140136719e+00
4.804687500000000000e+02,-7.958324432373046875e+00,-6.448370456695556641e+00
4.863281250000000000e+02,-6.839227676391601562e+00,-6.454705238342285156e+00
4.921875000000000000e+02,-5.737360000610351562e+00,-6.421361923217773438e+00
4.980468750000000000e+02,-5.552606582641601562e+00,-6.327926635742187500e+00
5.039062500000000000e+02,-5.574798583984375000e+00,-6.215814113616943359e+00
5.097656250000000000e+02,-5.270494461059570312e+00,-6.128854751586914062e+00
5.156250000000000000e+02,-4.988252639770507812e+00,-6.097040653228759766e+00
5.214843750000000000e+02,-5.156497955322265625e+00,-6.109353065490722656e+00
5.273437500000000000e+02,-5.706207275390625000e+00,-6.139228343963623047e+00
5.332031250000000000e+02,-6.737800598144531250e+00,-6.156954765319824219e+00
5.390625000000000000e+02,-7.177627563476562500e+00,-6.152826786041259766e+00
5.449218750000000000e+02,-7.456161499023437500e+00,-6.127774715423583984e+00
5.507812500000000000e+02,-7.092985153198242188e+00,-6.096058368682861328e+00
5.566406250000000000e+02,-6.601705551147460938e+00,-6.069572448730468750e+00
5.625000000000000000e+02,-6.372188568115234375e+00,-6.065807819366455078e+00
5.683593750000000000e+02,-6.103990554809570312e+00,-6.061924934387207031e+00
5.742187500000000000e+02,-5.958467483520507812e+00,-6.059334278106689453e+00
5.800781250000000000e+02,-6.039844512939453125e+00,-6.032307624816894531e+00
5.859375000000000000e+02,-6.696220397949218750e+00,-5.985832691192626953e+00
5.917968750000000000e+02,-7.167770385742187500e+00,-5.935385704040527344e+00
5.976562500000000000e+02,-6.630689620971679688e+00,-5.916899204254150391e+00
6.035156250000000000e+02,-6.066871643066406250e+00,-5.911997795104980469e+00
6.093750000000000000e+02,-5.474044799804687500e+00,-5.918794155120849609e+00
6.152343750000000000e+02,-5.032306671142578125e+00,-5.924491405487060547e+00
6.210937500000000000e+02,-5.603456497192382812e+00,-5.903673648834228516e+00
6.269531250000000000e+02,-6.081996917724609375e+00,-5.869267940521240234e+00
6.328125000000000000e+02,-6.856285095214843750e+00,-5.832591056823730469e+00
6.386718750000000000e+02,-6.211490631103515625e+00,-5.804162979125976562e+00
6.445312500000000000e+02,-5.885763168334960938e+00,-5.778020381927490234e+00
6.503906250000000000e+02,-4.940071105957031250e+00,-5.750601768493652344e+00
6.562500000000000000e+02,-4.934011459350585938e+00,-5.714256286621093750e+00
6.621093750000000000e+02,-5.254133224487304688e+00,-5.646877765655517578e+00
6.679687500000000000e+02,-4.473449707031250000e+00,-5.576249599456787109e+00
6.738281250000000000e+02,-4.173601150512695312e+00,-5.532240867614746094e+00
